,id,username,first_name,last_name,full_name,description,verified,city,country_code,followers_count,followings_count,comments_count,track_count,avatar_url,groups_count,playlist_count,reposts_count,last_modified,created_at
33,268637158,VRT,None,None,None,"Le Vo Viet Truong
Cảm ơn bạn đã ghé thăm
Booking: djvrt.contact@gmail.com",True,Ho Chi Minh,VN,2344,15,159,24,https://i1.sndcdn.com/avatars-xcZmDSwgb9UVkRzz-wSd1cw-large.jpg,None,2,None,2021-10-12T06:27:48Z,2016-11-16T05:32:56Z
34,108936759,Rum,Rum,None,Rum,"Contact: howfeel.rum@gmail.com

►YouTube Channel: https://metub.net/rum
► Instagram: https://www.instagram.com/rumrumne
► FB Profile: https://www.facebook.com/rumrumne
► FB Page: https://www.facebook.com/rumrumofficial",True,Hue,VN,9450,29,6,11,https://i1.sndcdn.com/avatars-C3vT0ODfWZqh1vzy-iyCQJg-large.jpg,None,1,None,2021-05-16T20:41:43Z,2014-08-14T16:39:26Z
35,527162436,ADED Music Group,ADED Music Group,LLC,ADED Music Group LLC,"ADED Music Group is an unparalleled metadata and media asset management, delivery, and distribution platform for the music and entertainment industries, powered by the latest AI technology researched and developed by our team. With our long experience and a team of experts in the music industry, we believe that our services will assist you in the best possible way.


● If you would like to use our music on your videos or need more help, please contact us here - contact@adedmusic.com
● For all copyright issues, please contact us here - copyright@adedmusic.com",None,"Lewes, Delaware",US,2422,5,6,44,https://i1.sndcdn.com/avatars-y1n5ORxuPoufztbz-6yZCyw-large.jpg,None,None,None,2021-09-02T03:40:01Z,2018-10-21T04:07:37Z
36,346594163,Rapital,Rapital,Represent,Rapital Represent,Rap in Capital Reppin' Capital,None,Ha Noi,VN,21204,13,16,18,https://i1.sndcdn.com/avatars-89uQOodXcrZmQrQ4-8oRt3w-large.jpg,None,None,None,2021-03-08T12:30:02Z,2017-11-11T02:16:11Z
37,268637158,VRT,None,None,None,"Le Vo Viet Truong
Cảm ơn bạn đã ghé thăm
Booking: djvrt.contact@gmail.com",True,Ho Chi Minh,VN,2344,15,159,24,https://i1.sndcdn.com/avatars-xcZmDSwgb9UVkRzz-wSd1cw-large.jpg,None,2,None,2021-10-12T06:27:48Z,2016-11-16T05:32:56Z
38,424967571,DJ TCT MUSIC - 0971345286,TCT,Production,TCT Production,"Cung cấp nhạc bay: 0971345286 
Facebook: www.facebook.com/tacongtung
Soundcloud: @tacongtung
Mixcloud: www.mixcloud.com/tacongtung/
Youtube TCT Music Offical: https://www.youtube.com/channel/UCdy5gC2jwAxTJlHN5tJEkXA
Facebook Page: www.facebook.com/tctproduction/
Soundcloud Page: @tctproduction
Email: tacongt@gmail.com",None,Ha Noi,VN,38886,36,524,200,https://i1.sndcdn.com/avatars-owD37bG71wWzhQGy-gw1TeA-large.jpg,None,1,None,2021-10-21T06:27:54Z,2018-03-29T01:45:36Z
39,211162020,Hustlang Winno 🐉🐍,Hoàng Long,Nguyễn,Hoàng Long Nguyễn,Just HiPhOp,None,Da Nang,VN,9018,241,463,24,https://i1.sndcdn.com/avatars-obCbkXfyirsptQUx-OAfq0w-large.jpg,None,None,None,2021-06-18T08:55:12Z,2016-03-10T06:48:06Z
40,144468830,Khoi Vu,Bệu - Lennie,None,Bệu - Lennie,"Check My Music On All Platforms!
* Facebook: 
https://www.facebook.com/khoivu.pham99
* Instagram: 
https://www.instagram.com/lennie.99/?hl=en
* Youtube: 
https://www.youtube.com/channel/UCWBhkwRP-zQy194ZhzlMTTA
* Spotify: 
https://open.spotify.com/artist/71Cy7nzbfpuGJAS5FGxm93

--------------------------------------------------------------------------------------
Liên hệ công việc với mình tại:
Email: khoivupham99@gmail.com",None,Berlin,None,13953,111,227,21,https://i1.sndcdn.com/avatars-Hdq3JcpgElmpB8Ny-91kNzQ-large.jpg,None,11,None,2021-10-12T16:30:58Z,2015-03-22T07:41:59Z
41,143978584,buitruonglinh,Bùi,Trường Linh,Bùi Trường Linh,"* 06/04/1999
* Songwriter - Singer
* Violinist 
* Nhạc Viện Thành Phố HCM",None,Hồ Chí Minh,VN,10321,33,61,6,https://i1.sndcdn.com/avatars-FHRb1U4Q3oUDE7U4-EyVs8A-large.jpg,None,None,None,2021-08-12T14:02:10Z,2015-03-19T05:08:45Z
42,233983367,Đặng Gia Linh,Đặng,Gia Linh,Đặng Gia Linh,Khello,None,hà nội,VN,1638,39,23,12,https://i1.sndcdn.com/avatars-qbKTNcAR2B4Hxh5A-iCx6jQ-large.jpg,None,1,None,2021-09-21T03:38:37Z,2016-06-16T09:40:22Z
43,125512733,TaylorDaClownn.,Taylor.,None,Taylor.,"------Since 2019-----
@cozy9ang - Taylor / Ke cap trai tym",True,BDSM,None,1861,43,263,32,https://i1.sndcdn.com/avatars-EvWR4dzPSeyy1oRP-azNNjg-large.jpg,None,None,None,2021-09-07T13:30:35Z,2014-11-30T14:55:30Z
44,867905608,Trí Beat,Trí,Beat,Trí Beat,"Music ♪
Youtube : Trí Beat 
Facebook : tribeatofficial ",None,Thái Bình ,VN,577,25,None,13,https://i1.sndcdn.com/avatars-000869491432-am78tp-large.jpg,None,1,None,2021-09-14T04:42:37Z,2020-08-15T05:51:10Z
45,552829575,odayconhacthuii,None,None,None,None,None,None,None,1125,2,None,8,https://i1.sndcdn.com/avatars-jczHxYZuUJMXczOO-3ByocQ-large.jpg,None,None,None,2021-08-26T10:16:16Z,2018-12-09T13:30:05Z
46,23589786,Vu Ngan My,None,None,None,None,None,None,VN,479,16,8,10,https://i1.sndcdn.com/avatars-BFazO3j4yYYaCtsm-A2KGLA-large.jpg,None,3,None,2021-09-13T05:42:15Z,2012-09-06T06:43:21Z
47,347338130,L T H 1905,ÇHüâñ Từng,CM,ÇHüâñ Từng CM,None,None,Ha Noi,VN,784,11,13,16,https://i1.sndcdn.com/avatars-NzChREuwMcd5iwyO-pcwOWg-large.jpg,None,1,None,2020-09-26T09:12:05Z,2017-11-12T12:48:33Z
48,284464033,Marchino,None,None,None,Hawie,None,Ho Chi Minh,VN,214,None,3,9,https://i1.sndcdn.com/avatars-71xBPcpUzDWw78f9-BXPSzg-large.jpg,None,1,None,2021-06-26T09:03:26Z,2017-01-24T16:23:41Z
49,428825211,Anh Minh,Tui,Trả,Tui Trả,None,None,None,CA,1908,20,2,23,https://i1.sndcdn.com/avatars-y5Uc0ZsaQGv6AuE6-ZcFXkg-large.jpg,None,9,None,2021-06-14T15:10:16Z,2018-04-05T23:01:32Z
50,233983367,Đặng Gia Linh,Đặng,Gia Linh,Đặng Gia Linh,Khello,None,hà nội,VN,1638,39,23,12,https://i1.sndcdn.com/avatars-qbKTNcAR2B4Hxh5A-iCx6jQ-large.jpg,None,1,None,2021-09-21T03:38:37Z,2016-06-16T09:40:22Z
51,214108729,VUX,Vũ,Nguyễn,Vũ Nguyễn,Contact: https://www.facebook.com/vux0501,None,None,VN,3937,1,14,13,https://i1.sndcdn.com/avatars-T1Coq6lJGUAnedIu-C0um1w-large.jpg,None,None,None,2021-09-25T15:11:39Z,2016-03-24T14:59:36Z
52,468124167,𝚑𝚞𝚠𝚗𝚐,Hưng,Vũ,Hưng Vũ,^^,None,hanoi,VN,553,None,5,10,https://i1.sndcdn.com/avatars-n1HKnLRVtzPiy0UZ-RTM0Vw-large.jpg,None,3,None,2021-10-05T11:38:31Z,2018-06-25T04:20:17Z
53,144468830,Khoi Vu,Bệu - Lennie,None,Bệu - Lennie,"Check My Music On All Platforms!
* Facebook: 
https://www.facebook.com/khoivu.pham99
* Instagram: 
https://www.instagram.com/lennie.99/?hl=en
* Youtube: 
https://www.youtube.com/channel/UCWBhkwRP-zQy194ZhzlMTTA
* Spotify: 
https://open.spotify.com/artist/71Cy7nzbfpuGJAS5FGxm93

--------------------------------------------------------------------------------------
Liên hệ công việc với mình tại:
Email: khoivupham99@gmail.com",None,Berlin,None,13953,111,227,21,https://i1.sndcdn.com/avatars-Hdq3JcpgElmpB8Ny-91kNzQ-large.jpg,None,11,None,2021-10-12T16:30:58Z,2015-03-22T07:41:59Z
54,38911229,ShenlongZ,None,None,None,"Basses Colonel
Contact : shenlongproducer@gmail.com
Manager Mrs. Tiny  : 093 5355521",True,Nha Trang,VN,20009,1962,1263,67,https://i1.sndcdn.com/avatars-MO77ymolkaSyyy5q-D8n1aw-large.jpg,None,2,None,2021-09-11T12:07:41Z,2013-03-12T13:42:24Z
55,985860319,DARLING,None,None,None,None,None,Hạ long and Hà nội,VN,781,12,58,12,https://i1.sndcdn.com/avatars-ZsT4keWPkismYNTl-Mp7bUw-large.jpg,None,None,None,2021-08-04T04:01:14Z,2021-05-17T04:53:09Z
56,22063637,Orion Bui,Orion,Bui,Orion Bui,None,None,HCM,VN,231,6,13,47,https://i1.sndcdn.com/avatars-000060541204-3x0d8x-large.jpg,None,1,None,2017-05-30T18:47:31Z,2012-08-13T10:26:32Z
57,926858524,DeeYouSee,None,None,None,Just an amateur music producer.,None,Hanoi,VN,184,22,7,37,https://i1.sndcdn.com/avatars-QLzi8CwDTKk5KEzO-BsDj3w-large.jpg,None,1,None,2021-10-18T13:07:43Z,2020-12-29T09:35:17Z
58,165032501,RPT Phongkhin,pacman.,None,pacman.,"@peecartrue
Northside 99🥦",True,⚯⚡,VN,23601,80,130,84,https://i1.sndcdn.com/avatars-fgJzTzTDXr3uFexQ-46D02g-large.jpg,None,5,None,2021-10-15T05:35:24Z,2015-07-26T09:31:38Z
59,693632069,ZRecords,None,None,None,HCM city,None,Ho Chi Minh city,VN,587,20,29,50,https://i1.sndcdn.com/avatars-VdSMexsvAO0wewzy-hZy8LQ-large.jpg,None,2,None,2021-10-13T16:50:01Z,2019-09-01T03:36:27Z
60,336636319,fishy,None,None,None,"i broke your hearts last week
atlantiscity.fishy@gmail.com",None,atlantis,None,1937,12,44,6,https://i1.sndcdn.com/avatars-yr57wGd9Ubjg7vbz-M8AoXg-large.jpg,None,1,None,2021-10-20T00:58:14Z,2017-10-07T14:33:11Z
61,294660233,H.A Music B,H.A,Music B,H.A Music B,None,None,None,US,64,11,8,12,https://i1.sndcdn.com/avatars-000301392901-0ahvhz-large.jpg,None,None,None,2021-10-10T03:00:22Z,2017-03-12T02:16:30Z
62,268637158,VRT,None,None,None,"Le Vo Viet Truong
Cảm ơn bạn đã ghé thăm
Booking: djvrt.contact@gmail.com",True,Ho Chi Minh,VN,2344,15,159,24,https://i1.sndcdn.com/avatars-xcZmDSwgb9UVkRzz-wSd1cw-large.jpg,None,2,None,2021-10-12T06:27:48Z,2016-11-16T05:32:56Z
63,527162436,ADED Music Group,ADED Music Group,LLC,ADED Music Group LLC,"ADED Music Group is an unparalleled metadata and media asset management, delivery, and distribution platform for the music and entertainment industries, powered by the latest AI technology researched and developed by our team. With our long experience and a team of experts in the music industry, we believe that our services will assist you in the best possible way.


● If you would like to use our music on your videos or need more help, please contact us here - contact@adedmusic.com
● For all copyright issues, please contact us here - copyright@adedmusic.com",None,"Lewes, Delaware",US,2422,5,6,44,https://i1.sndcdn.com/avatars-y1n5ORxuPoufztbz-6yZCyw-large.jpg,None,None,None,2021-09-02T03:40:01Z,2018-10-21T04:07:37Z
64,211162020,Hustlang Winno 🐉🐍,Hoàng Long,Nguyễn,Hoàng Long Nguyễn,Just HiPhOp,None,Da Nang,VN,9018,241,463,24,https://i1.sndcdn.com/avatars-obCbkXfyirsptQUx-OAfq0w-large.jpg,None,None,None,2021-06-18T08:55:12Z,2016-03-10T06:48:06Z
65,143978584,buitruonglinh,Bùi,Trường Linh,Bùi Trường Linh,"* 06/04/1999
* Songwriter - Singer
* Violinist 
* Nhạc Viện Thành Phố HCM",None,Hồ Chí Minh,VN,10321,33,61,6,https://i1.sndcdn.com/avatars-FHRb1U4Q3oUDE7U4-EyVs8A-large.jpg,None,None,None,2021-08-12T14:02:10Z,2015-03-19T05:08:45Z
66,233983367,Đặng Gia Linh,Đặng,Gia Linh,Đặng Gia Linh,Khello,None,hà nội,VN,1638,39,23,12,https://i1.sndcdn.com/avatars-qbKTNcAR2B4Hxh5A-iCx6jQ-large.jpg,None,1,None,2021-09-21T03:38:37Z,2016-06-16T09:40:22Z
67,867905608,Trí Beat,Trí,Beat,Trí Beat,"Music ♪
Youtube : Trí Beat 
Facebook : tribeatofficial ",None,Thái Bình ,VN,577,25,None,13,https://i1.sndcdn.com/avatars-000869491432-am78tp-large.jpg,None,1,None,2021-09-14T04:42:37Z,2020-08-15T05:51:10Z
68,552829575,odayconhacthuii,None,None,None,None,None,None,None,1125,2,None,8,https://i1.sndcdn.com/avatars-jczHxYZuUJMXczOO-3ByocQ-large.jpg,None,None,None,2021-08-26T10:16:16Z,2018-12-09T13:30:05Z
69,428825211,Anh Minh,Tui,Trả,Tui Trả,None,None,None,CA,1908,20,2,23,https://i1.sndcdn.com/avatars-y5Uc0ZsaQGv6AuE6-ZcFXkg-large.jpg,None,9,None,2021-06-14T15:10:16Z,2018-04-05T23:01:32Z
70,908912149,Lisa,None,None,None,None,None,None,None,836,None,None,3,https://a1.sndcdn.com/images/default_avatar_large.png,None,1,None,2020-11-18T15:03:27Z,2020-11-18T15:03:26Z
71,323137593,dhruv,None,None,None,None,None,New York / London,None,7395,18,3,7,https://i1.sndcdn.com/avatars-LWW5zP168BU42SZq-gK6PbA-large.jpg,None,None,None,2021-07-20T22:01:18Z,2017-07-30T18:12:47Z
72,693632069,ZRecords,None,None,None,HCM city,None,Ho Chi Minh city,VN,587,20,29,50,https://i1.sndcdn.com/avatars-VdSMexsvAO0wewzy-hZy8LQ-large.jpg,None,2,None,2021-10-13T16:50:01Z,2019-09-01T03:36:27Z
73,468581451,Hawys.,None,Ｄａｎｇ Ｎｈｕｔ Ｈａｏ,Ｄａｎｇ Ｎｈｕｔ Ｈａｏ,"19.

contact:
hawysmusic@gmail.com

facebook:
facebook.com/hawys.la
facebook.com/hawysmusic
youtube:
youtube.com/hawysmusic
instagram:
instagram.com/hawysmusic",True,VN,None,8881,14,58,37,https://i1.sndcdn.com/avatars-ey1hNlWn9Swhe0wv-xMWOBg-large.jpg,None,3,None,2021-10-20T09:23:48Z,2018-06-26T01:59:20Z
74,450976719,mnhat.peo,I Am,Japand,I Am Japand,None,None,None,None,1686,56,6,12,https://i1.sndcdn.com/avatars-qBgWQovvziK29fuZ-WbfiYA-large.jpg,None,3,None,2021-02-18T18:48:09Z,2018-05-19T10:15:21Z
75,3900683,Touliver,None,None,None,SBNSL ! SPACESPEAKERS .,True,None,None,170489,68,9,181,https://i1.sndcdn.com/avatars-qs8yu1NrjUGCdQbZ-A2yeiA-large.jpg,None,5,None,2020-11-20T15:15:34Z,2011-03-29T06:34:41Z
76,693632069,ZRecords,None,None,None,HCM city,None,Ho Chi Minh city,VN,587,20,29,50,https://i1.sndcdn.com/avatars-VdSMexsvAO0wewzy-hZy8LQ-large.jpg,None,2,None,2021-10-13T16:50:01Z,2019-09-01T03:36:27Z
77,261245869,Đức Anh,Đức,Anh,Đức Anh,None,None,None,None,538,4,None,25,https://i1.sndcdn.com/avatars-kNG3MAnkNejyhr1j-44LO6Q-large.jpg,None,1,None,2021-04-25T06:58:41Z,2016-10-13T13:56:51Z
78,968027365,๖Tuấn._Azh๖,❤️❤️❤️,None,❤️❤️❤️,(●♡∀♡)🚬,None,None,PE,1272,131,5,9,https://i1.sndcdn.com/avatars-ryjlrip1EWxAnXsW-HVFwow-large.jpg,None,3,None,2021-10-21T03:48:32Z,2021-03-30T13:06:53Z
79,402562035,PhuBinh,Binh,Nguyen Phu,Binh Nguyen Phu,".phubinh

SONG WRITTER - RAPPER

EMAIL: nguyenb262@gmail.com",None,HoChiMinh,VN,1782,6,37,6,https://i1.sndcdn.com/avatars-aYh5Cg7IHeqmAHlj-S7SwAw-large.jpg,None,None,None,2020-12-30T12:08:10Z,2018-02-19T15:15:27Z
80,347338130,L T H 1905,ÇHüâñ Từng,CM,ÇHüâñ Từng CM,None,None,Ha Noi,VN,784,11,13,16,https://i1.sndcdn.com/avatars-NzChREuwMcd5iwyO-pcwOWg-large.jpg,None,1,None,2020-09-26T09:12:05Z,2017-11-12T12:48:33Z
81,968027365,๖Tuấn._Azh๖,❤️❤️❤️,None,❤️❤️❤️,(●♡∀♡)🚬,None,None,PE,1272,131,5,9,https://i1.sndcdn.com/avatars-ryjlrip1EWxAnXsW-HVFwow-large.jpg,None,3,None,2021-10-21T03:48:32Z,2021-03-30T13:06:53Z
